Ticker,Name,Series Type,Currency,Country,Units,Scale,Flow,Adjustment,Corporate_History
CMSIGBW,London Silver Price (Pence/Ounce),Commodity Prices,United Kingdom Pound,United Kingdom,GBP per Troy Ounce,Pence,Stock,none,
Date,Ticker,Close
12/31/1841,CMSIGBW,59.75
12/31/1842,CMSIGBW,59.1875
12/31/1843,CMSIGBW,59.25
12/31/1844,CMSIGBW,59.5
12/31/1845,CMSIGBW,59.1875
12/31/1846,CMSIGBW,60.125
12/31/1847,CMSIGBW,59.125
12/31/1848,CMSIGBW,59.5
12/31/1849,CMSIGBW,59.5625
12/31/1850,CMSIGBW,61.5
12/31/1851,CMSIGBW,60.75
12/31/1852,CMSIGBW,61.3125
12/31/1853,CMSIGBW,61.75
12/31/1854,CMSIGBW,61.375
12/31/1855,CMSIGBW,61.375
12/31/1856,CMSIGBW,61.625
12/31/1857,CMSIGBW,62.1875
12/31/1858,CMSIGBW,61.5
12/31/1859,CMSIGBW,62
12/31/1860,CMSIGBW,61.3125
12/31/1861,CMSIGBW,61.125
12/31/1862,CMSIGBW,61.5625
12/31/1863,CMSIGBW,61.5625
12/31/1864,CMSIGBW,61.375
12/31/1865,CMSIGBW,61.71875
12/31/1866,CMSIGBW,60.8125
12/31/1867,CMSIGBW,60.4375
12/31/1868,CMSIGBW,60.8125
12/31/1869,CMSIGBW,60.5
12/31/1870,CMSIGBW,60.5625
12/31/1871,CMSIGBW,61.1875
12/31/1872,CMSIGBW,59.625
12/31/1873,CMSIGBW,58.03125
12/31/1874,CMSIGBW,57.5
12/31/1875,CMSIGBW,56.25
12/31/1876,CMSIGBW,56.875
12/31/1877,CMSIGBW,54
12/31/1878,CMSIGBW,49.78125
12/31/1879,CMSIGBW,52.6875
12/31/1880,CMSIGBW,51.8125
12/31/1881,CMSIGBW,51.875
12/31/1882,CMSIGBW,50.4375
12/31/1883,CMSIGBW,50.75
12/31/1884,CMSIGBW,49.6875
12/31/1885,CMSIGBW,47.1875
12/31/1886,CMSIGBW,45.6875
12/31/1887,CMSIGBW,44.46875
12/31/1888,CMSIGBW,42.59375
12/31/1889,CMSIGBW,44.0625
12/31/1890,CMSIGBW,48.375
12/31/1891,CMSIGBW,43.875
12/31/1892,CMSIGBW,38.5
12/31/1893,CMSIGBW,32.03125
12/31/1894,CMSIGBW,27.84375
12/31/1895,CMSIGBW,30.34375
12/31/1896,CMSIGBW,29.90625
12/31/1897,CMSIGBW,26.84375
12/31/1898,CMSIGBW,27.4375
12/31/1899,CMSIGBW,27.125
12/31/1900,CMSIGBW,29.6875
12/31/1901,CMSIGBW,25.34375
12/31/1902,CMSIGBW,21.90625
12/31/1903,CMSIGBW,25.71875
12/31/1904,CMSIGBW,27.96875
12/31/1905,CMSIGBW,30.15625
12/31/1906,CMSIGBW,31.96875
12/31/1907,CMSIGBW,25.46875
12/31/1908,CMSIGBW,22.78125
12/31/1909,CMSIGBW,23.9375
12/31/1910,CMSIGBW,25.28125
12/31/1911,CMSIGBW,25.375
12/31/1912,CMSIGBW,29.21875
12/31/1913,CMSIGBW,26.59375
12/31/1914,CMSIGBW,22.8125
12/31/1915,CMSIGBW,26.40625
12/31/1916,CMSIGBW,36.46875
12/31/1917,CMSIGBW,43.125
12/31/1918,CMSIGBW,48.59375
12/31/1919,CMSIGBW,76.3125
12/31/1920,CMSIGBW,41.8125
12/31/1921,CMSIGBW,43.125
12/31/1922,CMSIGBW,48.5938
12/31/1923,CMSIGBW,76.125
12/31/1924,CMSIGBW,32.753
12/31/1925,CMSIGBW,31.835
12/31/1926,CMSIGBW,24.8125
12/31/1927,CMSIGBW,26.71875
12/31/1928,CMSIGBW,26.4375
12/31/1929,CMSIGBW,22
12/31/1930,CMSIGBW,15.34375
12/31/1931,CMSIGBW,19.90625
12/31/1932,CMSIGBW,17.1875
12/31/1933,CMSIGBW,18.75
12/31/1934,CMSIGBW,24.34375
12/31/1935,CMSIGBW,25.34375
12/31/1936,CMSIGBW,21.125
12/31/1937,CMSIGBW,19
12/31/1938,CMSIGBW,20.09375
12/31/1939,CMSIGBW,23.263
12/31/1940,CMSIGBW,23.015
12/31/1941,CMSIGBW,23.5
12/31/1942,CMSIGBW,23.5
12/31/1943,CMSIGBW,23.5
12/31/1944,CMSIGBW,23.5
12/31/1945,CMSIGBW,44
12/31/1946,CMSIGBW,55.5
12/31/1947,CMSIGBW,45
12/31/1948,CMSIGBW,42.5
12/31/1949,CMSIGBW,64
12/31/1950,CMSIGBW,70
12/31/1951,CMSIGBW,77
